4562498,Humacao Airport,Humacao Airport,"Aeropuerto Culebra de Aviacion,Aeropuerto Humacao,Aeropuerto de Humacao,HUC,Humacao Airport,X63",18.13802,-65.79965,S,AIRP,PR,,69,7268886,,,0,8,8,America/Puerto_Rico,9/26/15
4562500,Aeropuerto de Salinas,Aeropuerto de Salinas,Salinas Auxiliary Airdrome,17.97052,-66.26767,S,AIRP,PR,,123,7268174,,,0,13,12,America/Puerto_Rico,8/3/15
4562501,Aguacate,Aguacate,,18.50216,-67.10574,P,PPL,PR,,5,7268168,,,0,62,65,America/Puerto_Rico,8/3/15
4562502,Aguada,Aguada,"Aguada,Agvada,a gua da,aguraada,agwada  pwyrtw rykw,Агвада,Агуада,اگوادا، پوئرتو ریکو,اگوادا، پورٹو ریکو,আগুৱাডা,阿瓜達",18.37939,-67.18824,P,PPLA,PR,,3,7268170,,,4040,18,20,America/Puerto_Rico,8/3/15
4562503,Aguada,Aguada,"AGD,Aguada,San Francisco de Asis de la Aguada,San Francisco de Asís de la Aguada",18.3605,-67.17463,A,ADM1,PR,,3,,,,38136,55,55,America/Puerto_Rico,12/3/23
4562504,Aguada Parque de Colón,Aguada Parque de Colon,"Aguada Parque de Colon,Monumiento Descubrimiento de Puerto Rico,Parque de Colon",18.39189,-67.19463,L,PRK,PR,,3,,,,0,4,10,America/Puerto_Rico,2/16/07
4562506,Aguadilla,Aguadilla,"Aguadil'ja,Aguadilla,Agvadila,BQN,Guadilla,Guadiya,a gua di ya,aguraadila,agwadyla  pwyrtw rykw,Агвадиља,Агуадилья,Агуаділья,اگوادیلا، پورٹو ریکو,اگوادیلا، پویرتو ریکو,আগুৱাডিলা,阿瓜迪亚",18.42745,-67.15407,P,PPLA,PR,,5,7268171,,,16073,7,7,America/Puerto_Rico,6/29/17
4562507,Aguadilla Country Club,Aguadilla Country Club,,18.44522,-67.15824,S,RSRT,PR,,5,7268262,,,0,34,39,America/Puerto_Rico,8/3/15
4562508,Aguadilla Mall Shopping Center,Aguadilla Mall Shopping Center,,18.42272,-67.14101,S,MALL,PR,,5,7268290,,,0,148,150,America/Puerto_Rico,8/3/15
4562510,Aguadilla Post Office,Aguadilla Post Office,,18.42717,-67.1549,S,PO,PR,,5,7268171,,,0,2,5,America/Puerto_Rico,8/3/15
4562511,Bahía de Aguadilla,Bahia de Aguadilla,"Aguadilla Bay,Bahia Aguadilla,Bahia de Aguadilla,El Picerto de Layouada",18.43133,-67.16907,H,BAY,PR,,5,,,,0,0,-9999,America/Puerto_Rico,2/16/07
